iter	Passed	Remaining
0	180	180370
1	186	93006
2	192	63977
3	197	49061
4	200	39983
5	206	34253
6	211	29993
7	216	26866
8	222	24455
9	225	22349
10	231	20779
11	236	19431
12	239	18218
13	244	17236
14	248	16309
15	252	15526
16	256	14813
17	260	14231
18	264	13647
19	269	13201
20	272	12716
21	277	12320
22	283	12050
23	289	11758
24	294	11468
25	298	11163
26	302	10900
27	307	10671
28	311	10417
29	316	10220
30	321	10035
31	325	9840
32	329	9657
33	333	9473
34	337	9302
35	342	9158
36	346	9020
37	350	8867
38	354	8740
39	359	8639
40	364	8523
41	374	8548
42	381	8480
43	388	8432
44	397	8431
45	401	8335
46	407	8254
47	412	8176
48	417	8101
49	421	8015
50	428	7968
51	434	7913
52	439	7855
53	444	7791
54	451	7750
55	458	7721
56	462	7657
57	468	7611
58	472	7542
59	476	7470
60	480	7399
61	484	7330
62	487	7255
63	491	7186
64	494	7118
65	498	7059
66	504	7026
67	508	6967
68	511	6906
69	515	6849
70	519	6797
71	523	6747
72	528	6713
73	535	6695
74	540	6667
75	545	6628
76	550	6600
77	555	6568
78	561	6543
79	566	6516
80	570	6474
81	574	6430
82	578	6390
83	582	6356
84	586	6312
85	589	6270
86	593	6228
87	598	6200
88	602	6163
89	606	6130
90	611	6111
91	617	6091
92	622	6069
93	628	6056
94	632	6023
95	636	5996
96	641	5973
97	646	5953
98	651	5928
99	655	5897
100	659	5869
101	663	5841
102	666	5807
103	669	5771
104	674	5748
105	678	5723
106	682	5694
107	686	5668
108	690	5644
109	694	5619
110	698	5595
111	702	5567
112	706	5544
113	709	5517
114	714	5494
115	718	5472
116	722	5452
117	726	5429
118	730	5405
119	734	5386
120	739	5368
121	743	5348
122	746	5323
123	751	5305
124	755	5289
125	759	5268
126	764	5254
127	768	5238
128	773	5220
129	777	5202
130	782	5193
131	788	5186
132	793	5172
133	798	5161
134	805	5159
135	814	5173
136	819	5165
137	823	5146
138	828	5129
139	832	5111
140	836	5097
141	841	5082
142	846	5074
143	850	5056
144	855	5041
145	860	5031
146	867	5031
147	876	5044
148	884	5053
149	894	5069
150	902	5074
151	907	5064
152	913	5059
153	918	5047
154	923	5032
155	927	5017
156	932	5009
157	936	4993
158	941	4977
159	946	4968
160	950	4952
161	954	4936
162	958	4922
163	962	4908
164	966	4891
165	970	4877
166	974	4863
167	978	4847
168	982	4832
169	986	4817
170	990	4800
171	994	4787
172	998	4774
173	1002	4759
174	1019	4807
175	1025	4801
176	1030	4793
177	1034	4778
178	1039	4767
179	1043	4753
180	1048	4743
181	1053	4735
182	1059	4729
183	1063	4715
184	1067	4703
185	1072	4694
186	1077	4682
187	1080	4668
188	1085	4658
189	1089	4645
190	1094	4635
191	1099	4627
192	1104	4617
193	1108	4603
194	1112	4591
195	1115	4576
196	1119	4563
197	1123	4550
198	1126	4535
199	1130	4523
200	1135	4513
201	1139	4501
202	1144	4491
203	1148	4481
204	1152	4470
205	1157	4460
206	1160	4447
207	1165	4436
208	1169	4424
209	1173	4412
210	1177	4402
211	1181	4393
212	1185	4380
213	1189	4370
214	1196	4367
215	1204	4370
216	1209	4365
217	1216	4363
218	1220	4352
219	1224	4339
220	1229	4332
221	1233	4321
222	1236	4308
223	1240	4296
224	1244	4287
225	1249	4280
226	1254	4273
227	1259	4264
228	1265	4261
229	1270	4254
230	1276	4249
231	1281	4241
232	1284	4228
233	1288	4216
234	1293	4209
235	1298	4203
236	1302	4194
237	1307	4184
238	1312	4177
239	1315	4165
240	1319	4154
241	1323	4145
242	1327	4134
243	1330	4121
244	1333	4109
245	1339	4104
246	1342	4093
247	1346	4081
248	1350	4074
249	1354	4063
250	1358	4055
251	1363	4046
252	1366	4034
253	1370	4025
254	1374	4015
